ID,CommonName,SMILES,Formula,AverageMass,MolecularWeight,MonoisotopicMass,NominalMass
2324,"3-Fluoro-4-{[hydroxy(5,5,8,8-tetramethyl-5,6,7,8-tetrahydro-2-naphthalenyl)acetyl]amino}benzoic acid",CC1(C)CCC(C)(C)c2cc(C(O)C(=O)Nc3ccc(C(=O)O)cc3F)ccc21,C_{23}H_{26}FNO_{4},399.462,399.462,399.184587,399
2396,1-{4-[3-(4-Fluorophenoxy)phenyl]-3-buten-2-yl}-1-hydroxyurea,CC(C=Cc1cccc(Oc2ccc(F)cc2)c1)N(O)C(N)=O,C_{17}H_{17}FN_{2}O_{3},316.332,316.332,316.122321,316
2479,Carmofur,CCCCCCNC(=O)n1cc(F)c(=O)[nH]c1=O,C_{11}H_{16}FN_{3}O_{3},257.265,257.265,257.11757,257
2575,"7-[4-(4-Fluorophenyl)-2,6-diisopropyl-5-(methoxymethyl)-3-pyridinyl]-3,5-dihydroxy-6-heptenoic acid",COCc1c(C(C)C)nc(C(C)C)c(C=CC(O)CC(O)CC(=O)O)c1-c1ccc(F)cc1,C_{26}H_{34}FNO_{5},459.558,459.558,459.242101,459
2584,2-Hydroxy-5-{2-[(2-hydroxy-3-{4-[1-methyl-4-(trifluoromethyl)-1H-imidazol-2-yl]phenoxy}propyl)amino]ethoxy}benzamide,Cn1cc(C(F)(F)F)nc1-c1ccc(OCC(O)CNCCOc2ccc(O)c(C(N)=O)c2)cc1,C_{23}H_{25}F_{3}N_{4}O_{5},494.47,494.47,494.177705,494
2662,Ciprofloxacin,O=C(O)c1cn(C2CC2)c2cc(N3CCNCC3)c(F)cc2c1=O,C_{17}H_{18}FN_{3}O_{3},331.347,331.347,331.13322,331
2667,4-amino-5-chloro-N-{1-[3-(4-fluorophenoxy)propyl]-3-methoxypiperidin-4-yl}-2-methoxybenzamide,COc1cc(N)c(Cl)cc1C(=O)NC1CCN(CCCOc2ccc(F)cc2)CC1OC,C_{23}H_{29}ClFN_{3}O_{4},465.95,465.95,465.183062,465
2669,Citalopram,CN(C)CCCC1(c2ccc(F)cc2)OCc2cc(C#N)ccc21,C_{20}H_{21}FN_{2}O,324.399,324.399,324.163792,324
2741,"9-sec-Butyl-3-(7-fluoro-6-oxooctyl)-6-(1-methoxy-1H-indol-3-yl)octahydro-2H-pyrido[1,2-a][1,4,7,10]tetraazacyclododecine-1,4,7,10(3H,12H)-tetrone",CCC(C)C1NC(=O)C(c2cn(OC)c3ccccc23)NC(=O)C(CCCCCC(=O)C(C)F)NC(=O)C2CCCCN2C1=O,C_{33}H_{46}FN_{5}O_{6},627.758,627.758,627.343212,627
2771,5-Chloro-N-[3-(4-fluorophenyl)-1-(4-hydroxy-1-piperidinyl)-1-oxo-2-propanyl]-1H-indole-2-carboxamide,O=C(NC(Cc1ccc(F)cc1)C(=O)N1CCC(O)CC1)c1cc2cc(Cl)ccc2[nH]1,C_{23}H_{23}ClFN_{3}O_{3},443.903,443.903,443.141197,443
2772,"4-AMINO-5-CYCLOHEXYL-2,2-DIFLUORO-3-HYDROXY-PENTANOIC ACID",NC(CC1CCCCC1)C(O)C(F)(F)C(=O)O,C_{11}H_{19}F_{2}NO_{3},251.273,251.273,251.1333,251
2850,"tert-Butyl ({N-[(3,5-difluorophenyl)acetyl]alanyl}amino)(phenyl)acetate",CC(NC(=O)Cc1cc(F)cc(F)c1)C(=O)NC(C(=O)OC(C)(C)C)c1ccccc1,C_{23}H_{26}F_{2}N_{2}O_{4},432.467,432.467,432.186064,432
2902,Eflornithine,NCCCC(N)(C(=O)O)C(F)F,C_{6}H_{12}F_{2}N_{2}O_{2},182.17,182.17,182.086684,182
3047,"1-(5-Deoxypentofuranosyl)-5-fluoro-2,4(1H,3H)-pyrimidinedione",CC1OC(n2cc(F)c(=O)[nH]c2=O)C(O)C1O,C_{9}H_{11}FN_{2}O_{5},246.194,246.194,246.0652,246
3056,Droperidol,O=C(CCCN1CC=C(n2c(O)nc3ccccc32)CC1)c1ccc(F)cc1,C_{22}H_{22}FN_{3}O_{2},379.435,379.435,379.169605,379
3091,Efavirenz,O=C1Nc2ccc(Cl)cc2C(C#CC2CC2)(C(F)(F)F)O1,C_{14}H_{9}ClF_{3}NO_{2},315.675,315.675,315.027391,315
3116,Enoxacin,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNCC3)nc21,C_{15}H_{17}FN_{4}O_{3},320.324,320.324,320.128469,320
3183,Ethyl loflazepate,CCOC(=O)C1N=C(c2ccccc2F)c2cc(Cl)ccc2NC1=O,C_{18}H_{14}ClFN_{2}O_{3},360.769,360.769,360.067698,360
3201,"N-(2-Fluoroethyl)-2-methyl-5,8,11,14-icosatetraenamide",CCCCCC=CCC=CCC=CCC=CCCC(C)C(=O)NCCF,C_{23}H_{38}FNO,363.561,363.561,363.293743,363
3213,FCCP,N#CC(C#N)=NNc1ccc(OC(F)(F)F)cc1,C_{10}H_{5}F_{3}N_{4}O,254.171,254.171,254.041545,254
3232,Fidarestat,NC(=O)C1CC2(NC(=O)NC2=O)c2cc(F)ccc2O1,C_{12}H_{10}FN_{3}O_{4},279.227,279.227,279.065534,279
3238,"[2,5-Bis(2,2,2-trifluoroethoxy)phenyl](oxo)-N-(2-piperidinylmethyl)methanaminium",O=C([NH2+]CC1CCCCN1)c1cc(OCC(F)(F)F)ccc1OCC(F)(F)F,C_{17}H_{21}F_{6}N_{2}O_{3},415.354,415.354,415.145088,415
3239,Flecainide,O=C(NCC1CCCCN1)c1cc(OCC(F)(F)F)ccc1OCC(F)(F)F,C_{17}H_{20}F_{6}N_{2}O_{3},414.346,414.346,414.137812,414
3240,Fleroxacin,CN1CCN(c2c(F)cc3c(=O)c(C(=O)O)cn(CCF)c3c2F)CC1,C_{17}H_{18}F_{3}N_{3}O_{3},369.343,369.343,369.130026,369
3243,Floctafenine,O=C(OCC(O)CO)c1ccccc1Nc1ccnc2c(C(F)(F)F)cccc12,C_{20}H_{17}F_{3}N_{2}O_{4},406.36,406.36,406.114042,406
3246,"1-(2-Deoxypentofuranosyl)-5-fluoropyrimidine-2,4(1H,3H)-dione",O=c1[nH]c(=O)n(C2CC(O)C(CO)O2)cc1F,C_{9}H_{11}FN_{2}O_{5},246.194,246.194,246.0652,246
3248,Fluconazole,OC(Cn1cncn1)(Cn1cncn1)c1ccc(F)cc1F,C_{13}H_{12}F_{2}N_{6}O,306.276,306.276,306.104065,306
3249,Flucytosine,Nc1[nH]c(=O)ncc1F,C_{4}H_{4}FN_{3}O,129.094,129.094,129.03384,129
3250,2-Fluoro-9-pentofuranosyl-9H-purin-6-amine,Nc1nc(F)nc2c1ncn2C1OC(CO)C(O)C1O,C_{10}H_{12}FN_{5}O_{4},285.235,285.235,285.087332,285
3252,Fludiazepam,CN1C(=O)CN=C(c2ccccc2F)c2cc(Cl)ccc21,C_{16}H_{12}ClFN_{2}O,302.733,302.733,302.062219,302
3254,Flufenamic Acid,O=C(O)c1ccccc1Nc1cccc(C(F)(F)F)c1,C_{14}H_{10}F_{3}NO_{2},281.233,281.233,281.066363,281
3256,Flumazenil,CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(F)ccc1-2,C_{15}H_{14}FN_{3}O_{3},303.293,303.293,303.10192,303
3257,Flumequine,CC1CCc2cc(F)cc3c(=O)c(C(=O)O)cn1c23,C_{14}H_{12}FNO_{3},261.252,261.252,261.080121,261
3263,Flunitrazepam,CN1C(=O)CN=C(c2ccccc2F)c2cc([N+](=O)[O-])ccc21,C_{16}H_{12}FN_{3}O_{3},313.288,313.288,313.086269,313
3268,Fluorouracil,O=c1[nH]cc(F)c(=O)[nH]1,C_{4}H_{3}FN_{2}O_{2},130.078,130.078,130.017856,130
3269,Fluoxetine,CNCCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1,C_{17}H_{18}F_{3}NO,309.331,309.331,309.134049,309
3276,Flurazepam,CCN(CC)CCN1C(=O)CN=C(c2ccccc2F)c2cc(Cl)ccc21,C_{21}H_{23}ClFN_{3}O,387.883,387.883,387.151368,387
3279,fluspirilene,O=C1NCN(c2ccccc2)C12CCN(CCCC(c1ccc(F)cc1)c1ccc(F)cc1)CC2,C_{29}H_{31}F_{2}N_{3}O,475.583,475.583,475.243519,475
3280,Flutamide,CC(C)C(=O)Nc1ccc([N+](=O)[O-])c(C(F)(F)F)c1,C_{11}H_{11}F_{3}N_{2}O_{3},276.214,276.214,276.072177,276
3281,flutazolam,O=C1CN2CCOC2(c2ccccc2F)c2cc(Cl)ccc2N1CCO,C_{19}H_{18}ClFN_{2}O_{3},376.812,376.812,376.098998,376
3283,Flutoprazepam,O=C1CN=C(c2ccccc2F)c2cc(Cl)ccc2N1CC1CC1,C_{19}H_{16}ClFN_{2}O,342.798,342.798,342.093519,342
3285,8-(2-Fluoroethyl)-3-[2-hydroxy(diphenyl)acetoxy]-8-methyl-8-azoniabicyclo[3.2.1]octane,C[N+]1(CCF)C2CCC1CC(OC(=O)C(O)(c1ccccc1)c1ccccc1)C2,C_{24}H_{29}FNO_{3},398.498,398.498,398.212598,398
3286,"7-[3-(4-Fluorophenyl)-1-isopropyl-1H-indol-2-yl]-3,5-dihydroxy-6-heptenoic acid",CC(C)n1c(C=CC(O)CC(O)CC(=O)O)c(-c2ccc(F)cc2)c2ccccc21,C_{24}H_{26}FNO_{4},411.473,411.473,411.184587,411
3287,5-Methoxy-1-[4-(trifluoromethyl)phenyl]-1-pentanone O-(2-aminoethyl)oxime,COCCCCC(=NOCCN)c1ccc(C(F)(F)F)cc1,C_{15}H_{21}F_{3}N_{2}O_{2},318.339,318.339,318.155513,318
3337,Vanoxerine,Fc1ccc(C(OCCN2CCN(CCCc3ccccc3)CC2)c2ccc(F)cc2)cc1,C_{28}H_{32}F_{2}N_{2}O,450.573,450.573,450.24827,450
3343,"4-Amino-1-(2-deoxy-2,2-difluoropentofuranosyl)pyrimidin-2(1H)-one",Nc1ccn(C2OC(CO)C(O)C2(F)F)c(=O)n1,C_{9}H_{11}F_{2}N_{3}O_{4},263.2,263.2,263.071762,263
3438,Haloperidol,O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1,C_{21}H_{23}ClFNO_{2},375.868,375.868,375.140135,375
3477,p-F-HHSiD,O[Si](CCCN1CCCCC1)(c1ccc(F)cc1)C1CCCCC1,C_{20}H_{32}FNOSi,349.566,349.566,349.223719,349
3524,"5-fluoro-6-hydroxy-1,3-diazinane-2,4-dione",O=C1NC(=O)C(F)C(O)N1,C_{4}H_{5}FN_{2}O_{3},148.093,148.093,148.02842,148
3690,Ketanserin,O=C(c1ccc(F)cc1)C1CCN(CCn2c(=O)[nH]c3ccccc3c2=O)CC1,C_{22}H_{22}FN_{3}O_{3},395.434,395.434,395.16452,395
3720,"6-(4′-FLUORO-BIPHENYL-4-YL)-4-(3-METHYL-1-PHENYLCARBAMOYL-BUTYLCARBAMOYL)-2-[4-(1-OXO-1,3-DIHYDRO-ISOINDOL-2-YL)-BUTYL]-HEXANOIC ACID",CC(C)CC(NC(=O)C(CCc1ccc(-c2ccc(F)cc2)cc1)CC(CCCCN1Cc2ccccc2C1=O)C(=O)O)C(=O)Nc1ccccc1,C_{43}H_{48}FN_{3}O_{5},705.871,705.871,705.3578,705
3761,2-(Hydroxy{[4-(trifluoromethyl)phenyl]amino}methylene)-3-oxobutanenitrile,CC(=O)C(C#N)=C(O)Nc1ccc(C(F)(F)F)cc1,C_{12}H_{9}F_{3}N_{2}O_{2},270.21,270.21,270.061612,270
3762,Leflunomide,Cc1oncc1C(=O)Nc1ccc(C(F)(F)F)cc1,C_{12}H_{9}F_{3}N_{2}O_{2},270.21,270.21,270.061612,270
3782,2-{[(3-Fluorophenyl)amino](hydroxy)methylene}-3-oxobutanenitrile,CC(=O)C(C#N)=C(O)Nc1cccc(F)c1,C_{11}H_{9}FN_{2}O_{2},220.203,220.203,220.064806,220
3783,2-(Hydroxy{[4-(trifluoromethoxy)phenyl]amino}methylene)-3-oxobutanenitrile,CC(=O)C(C#N)=C(O)Nc1ccc(OC(F)(F)F)cc1,C_{12}H_{9}F_{3}N_{2}O_{3},286.209,286.209,286.056527,286
3789,lidoflazine,Cc1cccc(C)c1NC(=O)CN1CCN(CCCC(c2ccc(F)cc2)c2ccc(F)cc2)CC1,C_{30}H_{35}F_{2}N_{3}O,491.626,491.626,491.274819,491
3792,rac-Linezolid,CC(=O)NCC1CN(c2ccc(N3CCOCC3)c(F)c2)C(=O)O1,C_{16}H_{20}FN_{3}O_{4},337.351,337.351,337.143784,337
3811,Lomefloxacin,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNC(C)C3)c(F)c21,C_{17}H_{19}F_{2}N_{3}O_{3},351.353,351.353,351.139448,351
3812,Lomerizine,COc1ccc(CN2CCN(C(c3ccc(F)cc3)c3ccc(F)cc3)CC2)c(OC)c1OC,C_{27}H_{30}F_{2}N_{2}O_{3},468.544,468.544,468.222449,468
3853,"N,N,N-Trimethyl-3-(2,2,2-trifluoro-1,1-dihydroxyethyl)anilinium",C[N+](C)(C)c1cccc(C(O)(O)C(F)(F)F)c1,C_{11}H_{15}F_{3}NO_{2},250.24,250.24,250.10494,250
3857,Mabuterol,CC(C)(C)NCC(O)c1cc(Cl)c(N)c(C(F)(F)F)c1,C_{13}H_{18}ClF_{3}N_{2}O,310.744,310.744,310.105976,310
3906,mefloquine,OC(c1cc(C(F)(F)F)nc2c(C(F)(F)F)cccc12)C1CCCCN1,C_{17}H_{16}F_{6}N_{2}O,378.316,378.316,378.116682,378
4100,Moperone,Cc1ccc(C2(O)CCN(CCCC(=O)c3ccc(F)cc3)CC2)cc1,C_{22}H_{26}FNO_{2},355.453,355.453,355.194757,355
4109,"1-cyclopropyl-6-fluoro-8-methoxy-7-(octahydro-6H-pyrrolo[3,4-b]pyridin-6-yl)-4-oxo-1,4-dihydroquinoline-3-carboxylic acid",COc1c(N2CC3CCCNC3C2)c(F)cc2c(=O)c(C(=O)O)cn(C3CC3)c12,C_{21}H_{24}FN_{3}O_{4},401.438,401.438,401.175084,401
4159,"n-(m-trifluoromethylphenyl) phenoxazine-4,6-dicarboxylic acid",O=C(O)c1cccc2c1Oc1c(C(=O)O)cccc1N2c1cccc(C(F)(F)F)c1,C_{21}H_{12}F_{3}NO_{5},415.323,415.323,415.066757,415
4257,Nadifloxacin,CC1CCc2c(N3CCC(O)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23,C_{19}H_{21}FN_{2}O_{4},360.385,360.385,360.148535,360
4333,Niflumic acid,O=C(O)c1cccnc1Nc1cccc(C(F)(F)F)c1,C_{13}H_{9}F_{3}N_{2}O_{2},282.221,282.221,282.061612,282
4337,Nilutamide,CC1(C)NC(=O)N(c2ccc([N+](=O)[O-])c(C(F)(F)F)c2)C1=O,C_{12}H_{10}F_{3}N_{3}O_{4},317.223,317.223,317.06234,317
4380,Norfloxacin,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNCC3)cc21,C_{16}H_{18}FN_{3}O_{3},319.336,319.336,319.13322,319
4381,N-Desalkylflurazepam,O=C1CN=C(c2ccccc2F)c2cc(Cl)ccc2N1,C_{15}H_{10}ClFN_{2}O,288.706,288.706,288.046569,288
4382,Seproxetine,NCCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1,C_{16}H_{16}F_{3}NO,295.304,295.304,295.118399,295
4392,"1-[2-HYDROXY-5-(TRIFLUOROMETHYL)PHENYL]-5-(TRIFLUOROMETHYL)-3H-1,3-BENZODIAZOL-2-ONE",O=c1[nH]c2cc(C(F)(F)F)ccc2n1-c1cc(C(F)(F)F)ccc1O,C_{15}H_{8}F_{6}N_{2}O_{2},362.229,362.229,362.048997,362
4422,Ofloxacin,CC1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23,C_{18}H_{20}FN_{3}O_{4},361.373,361.373,361.143784,361
4493,p-Fluorophenylalanine,NC(Cc1ccc(F)cc1)C(=O)O,C_{9}H_{10}FNO_{2},183.182,183.182,183.069557,183
4503,p38 MAPK Inhibitor,O=c1c(-c2ccc(F)cc2)c(-c2ccncc2)[nH]n1-c1ccc(Cl)cc1,C_{20}H_{13}ClFN_{3}O,365.792,365.792,365.073118,365
4529,"3-(1,3-benzodioxol-5-yloxymethyl)-4-(4-fluorophenyl)piperidine",Fc1ccc(C2CCNCC2COc2ccc3c(c2)OCO3)cc1,C_{19}H_{20}FNO_{3},329.371,329.371,329.142722,329
4550,4-(4-Fluorophenyl)-2-(4-nitrophenyl)-5-(4-pyridyl)-1H-imidazole,O=[N+]([O-])c1ccc(-c2nc(-c3ccc(F)cc3)c(-c3ccncc3)[nH]2)cc1,C_{20}H_{13}FN_{4}O_{2},360.348,360.348,360.102254,360
4658,"1-{1-[4-(2-Chloro-4-fluorophenyl)-4-(4-fluorophenyl)butyl]-4-piperidinyl}-1,3-dihydro-2H-benzimidazol-2-one",O=c1[nH]c2ccccc2n1C1CCN(CCCC(c2ccc(F)cc2)c2ccc(F)cc2Cl)CC1,C_{28}H_{28}ClF_{2}N_{3}O,495.998,495.998,495.188897,495
4664,pipamperone,NC(=O)C1(N2CCCCC2)CCN(CCCC(=O)c2ccc(F)cc2)CC1,C_{21}H_{30}FN_{3}O_{2},375.488,375.488,375.232205,375
4681,pirenperone,Cc1nc2ccccn2c(=O)c1CCN1CCC(C(=O)c2ccc(F)cc2)CC1,C_{23}H_{24}FN_{3}O_{2},393.462,393.462,393.185255,393
4895,Risperidone,Cc1nc2n(c(=O)c1CCN1CCC(c3noc4cc(F)ccc34)CC1)CCCC2,C_{23}H_{27}FN_{4}O_{2},410.493,410.493,410.211804,410
4941,"UH-301 FREE BASE, (S)-",CCCN(CCC)C1CCc2c(F)ccc(O)c2C1,C_{16}H_{24}FNO,265.372,265.372,265.184193,265
4981,4-[4-(4-fluorophenyl)-5-(2-methoxy-4-pyrimidinyl)-1-imidazolyl]-1-cyclohexanol,COc1nccc(-c2c(-c3ccc(F)cc3)ncn2C2CCC(O)CC2)n1,C_{20}H_{21}FN_{4}O_{2},368.412,368.412,368.164854,368
5062,Sorbinil,O=C1NC(=O)C2(CCOc3ccc(F)cc32)N1,C_{11}H_{9}FN_{2}O_{3},236.202,236.202,236.05972,236
5067,Sparfloxacin,CC1CN(c2c(F)c(N)c3c(=O)c(C(=O)O)cn(C4CC4)c3c2F)CC(C)N1,C_{19}H_{22}F_{2}N_{4}O_{3},392.406,392.406,392.165997,392
5075,Spiperone,O=C(CCCN1CCC2(CC1)C(O)=NCN2c1ccccc1)c1ccc(F)cc1,C_{23}H_{26}FN_{3}O_{2},395.478,395.478,395.200905,395
5186,(±)-Gatifloxacin,COc1c(N2CCNC(C)C2)c(F)cc2c(=O)c(C(=O)O)cn(C3CC3)c12,C_{19}H_{22}FN_{3}O_{4},375.4,375.4,375.159434,375
5193,Tegafur,O=c1[nH]c(=O)n(C2CCCO2)cc1F,C_{8}H_{9}FN_{2}O_{3},200.169,200.169,200.05972,200
5291,"N,N,N-Trimethyl-3-(trifluoroacetyl)anilinium",C[N+](C)(C)c1cccc(C(=O)C(F)(F)F)c1,C_{11}H_{13}F_{3}NO,232.225,232.225,232.094375,232
5316,Tosufloxacin,NC1CCN(c2nc3c(cc2F)c(=O)c(C(=O)O)cn3-c2ccc(F)cc2F)C1,C_{19}H_{15}F_{3}N_{4}O_{3},404.348,404.348,404.109625,404
5344,"2-(4b-Fluoro-5-hydroxy-4a,6a,8,8-tetramethyl-2-oxo-2,4a,4b,5,6,6a,9a,10,10a,10b,11,12-dodecahydro-6bH-naphtho[2′,1′:4,5]indeno[1,2-d][1,3]dioxol-6b-yl)-2-oxoethyl 3-(benzoylamino)-2-methylpropanoate",CC(CNC(=O)c1ccccc1)C(=O)OCC(=O)C12OC(C)(C)OC1CC1C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC12C,C_{35}H_{42}FNO_{8},623.718,623.718,623.289446,623
5366,trifluperidol,O=C(CCCN1CCC(O)(c2cccc(C(F)(F)F)c2)CC1)c1ccc(F)cc1,C_{22}H_{23}F_{4}NO_{2},409.423,409.423,409.166492,409
5368,trifluralin,CCCN(CCC)c1c([N+](=O)[O-])cc(C(F)(F)F)cc1[N+](=O)[O-],C_{13}H_{16}F_{3}N_{3}O_{4},335.282,335.282,335.109291,335
5398,"6,6′-{1,3-Phenylenebis[carbonylimino(1-oxo-2,1-ethanediyl)imino]}bis{2-[({[4-(trifluoromethyl)benzyl]oxy}carbonyl)amino]hexanoic acid}",O=C(CNC(=O)c1cccc(C(=O)NCC(=O)NCCCCC(NC(=O)OCc2ccc(C(F)(F)F)cc2)C(=O)O)c1)NCCCCC(NC(=O)OCc1ccc(C(F)(F)F)cc1)C(=O)O,C_{42}H_{46}F_{6}N_{6}O_{12},940.848,940.848,940.30779,940
5430,Ufenamate,CCCCOC(=O)c1ccccc1Nc1cccc(C(F)(F)F)c1,C_{18}H_{18}F_{3}NO_{2},337.341,337.341,337.128963,337
5436,"5,6-Dihydro-5-(trifluoromethyl)uracil",O=C1NCC(C(F)(F)F)C(=O)N1,C_{5}H_{5}F_{3}N_{2}O_{2},182.101,182.101,182.030312,182
5514,"11-[(Difluoromethoxy)carbonyl]-5-isopropyl-8-methyl-3,6,9-trioxo-1-phenyl-2-oxa-4,7,10-triazatridecan-13-oic acid",CC(NC(=O)C(NC(=O)OCc1ccccc1)C(C)C)C(=O)NC(CC(=O)O)C(=O)OC(F)F,C_{21}H_{27}F_{2}N_{3}O_{8},487.456,487.456,487.176621,487
5521,Zardaverine,COc1cc(-c2ccc(=O)[nH]n2)ccc1OC(F)F,C_{12}H_{10}F_{2}N_{2}O_{3},268.219,268.219,268.065949,268
5527,"3,3,3-Trifluoro-2-hydroxy-2-methyl-N-phenylpropanamide",CC(O)(C(=O)Nc1ccccc1)C(F)(F)F,C_{10}H_{10}F_{3}NO_{2},233.189,233.189,233.066363,233
5535,"N-[(Benzyloxy)carbonyl]valyl-N-(5-fluoro-1-methoxy-1,4-dioxo-3-pentanyl)alaninamide",COC(=O)CC(NC(=O)C(C)NC(=O)C(NC(=O)OCc1ccccc1)C(C)C)C(=O)CF,C_{22}H_{30}FN_{3}O_{7},467.494,467.494,467.206779,467
5586,Floxuridine,O=c1[nH]c(=O)n([C@H]2C[C@H](O)[C@@H](CO)O2)cc1F,C_{9}H_{11}FN_{2}O_{5},246.194,246.194,246.0652,246
5688,Trifluorothymine,O=c1[nH]cc(C(F)(F)F)c(=O)[nH]1,C_{5}H_{3}F_{3}N_{2}O_{2},180.085,180.085,180.014662,180
